x0,y0,x1,y1,x2,y2
237553.123,425261.34,237552.8196107319,425266.3297851943,237553.42638926808,425256.35021480575
237551.577,425261.246,237551.14581080273,425266.22801469406,237552.00818919725,425256.2639853059
237550.038,425261.073,237549.35028447458,425266.02617840114,237550.72571552542,425256.1198215988
237548.509,425260.82,237547.5661559157,425265.73096288426,237549.45184408428,425255.90903711575
237546.996,425260.489,237545.80103112003,425265.3448053777,237548.19096888,425255.6331946223
237545.502,425260.08,237544.05692870409,425264.8673369118,237546.94707129593,425255.29266308824
237544.031,425259.594,237542.34203845102,425264.3007586228,237545.71996154895,425254.88724137715
237542.587,425259.034,237540.65735652435,425263.6474193715,237544.51664347565,425254.42058062844
237541.174,425258.399,237539.00699762366,425262.9057506511,237543.34100237634,425253.89224934886
237539.796,425257.692,237537.40158651903,425262.08207456185,237542.19041348097,425253.3019254381
237538.455,425256.916,237535.83762976012,425261.17705558735,237541.07237023985,425252.6549444127
237537.157,425256.071,237534.32159464862,425260.1901143937,237539.9924053514,425251.9518856063
237535.904,425255.16,237532.86394176318,425259.1303204762,237538.94405823684,425251.18967952376
237534.807,425254.276,237531.57025908146,425258.08782686584,237538.04374091854,425250.4641731342
237533.548,425253.15,237530.1159116555,425256.787115824,237536.9800883445,425249.51288417605
237532.45,425252.057,237528.83020217842,425255.50726112595,237536.0697978216,425248.606738874
237531.411,425250.908,237527.61720376773,425254.1658413244,237535.20479623225,425247.6501586756
237530.432,425249.707,237526.4764794117,425252.7664440296,237534.3875205883,425246.6475559704
237529.516,425248.458,237525.40728707853,425251.30856059707,237533.62471292148,425245.6074394029
237528.667,425247.163,237524.41590590496,425249.7963831887,237532.91809409502,425244.5296168113
237527.885,425245.825,237523.50460090832,425248.2371426701,237532.2653990917,425243.41285732994
237527.173,425244.45,237522.67409608667,425246.63328855525,237531.67190391335,425242.26671144477
237526.533,425243.039,237521.92693487412,425244.9860315695,237531.13906512587,425241.0919684305
237525.967,425241.597,237521.26661268712,425243.30372663366,237530.6673873129,425239.89027336636
237525.476,425240.128,237520.6770054105,425241.53970812185,237530.27499458948,425238.7162918782
237525.128,425238.763,237520.28394627402,425239.99796754326,237529.97205372597,425237.5280324567
237524.78,425237.398,237519.93594627402,425238.6329675433,237529.62405372597,425236.16303245665
